Sl. No., Size, Duration, Bitrate, Width, Height, FPS,Total Time x1,Downscale Time x2,Upload Time x2,Upscale Time x2,Total Time x2,Speed Up x2,Downscale Time x4,Upload Time x4,Upscale Time x4,Total Time x4,Speed Up x4,QM x1,QM x2,QM x4,SSIM x1,SSIM x2,SSIM x4,PSNR x1,PSNR x2,PSNR x4
12,139, 2mn 19s, 8362Kbps,1280,720,30,401.533,18.234,98.235,122.746,239.215,1.678544406,21.884,46.812,112.293,180.989,2.218549194,67.972,64.795,63.299,100,90.813,81.834,100,34.183,29.938
13,133, 2mn 13s, 8364Kbps,1280,720,30,398.675,17.467,94.296,124.763,236.526,1.685544084,22.578,42.744,111.785,177.107,2.251040332,68.359,63.938,61.245,100,91.076,80.579,100,33.078,30.148
14,42.6, 42s 800ms, 8355Kbps,1280,720,30,100.826,1.427,23.792,38.821,64.04,1.574422236,1.935,11.718,34.502,48.155,2.0937805,67.927,63.821,61.426,100,90.398,76.351,100,34.154,30.624
15,96, 1mn 35s, 8403Kbps,1280,720,30,198.381,1.683,45.252,84.792,131.727,1.506001048,2.185,21.857,76.971,101.013,1.963915536,68.135,64.137,62.936,100,90.798,80.461,100,33.725,30.493
16,185, 3mn 6s, 8357Kbps,1280,720,30,372.194,3.835,89.862,157.947,251.644,1.479049769,4.207,41.359,137.903,183.469,2.028647891,68.135,64.137,62.936,100,90.798,80.461,100,33.725,30.493
17,973, 16mn 17s, 8358Kbps,1280,720,30,1782.582,19.782,569.062,446.282,1035.126,1.722091803,21.916,289.027,417.925,728.868,2.445685639,67.892,63.902,62.782,100,91.052,75.831,100,33.814,30.149
18,49.4, 48s 934ms, 8470Kbps,1280,720,30,107.505,1.582,29.941,43.926,75.449,1.42486978,2.061,23.405,39.81,65.276,1.646929959,69.19,65.104,62.827,100,91.851,80.181,100,32.507,30.982
19,183, 3mn 2s, 8396Kbps,1280,720,30,381.894,6.191,89.35,168.81,264.351,1.444647457,7.722,51.295,156.916,215.933,1.768576364,68.104,65.942,63.481,100,92.185,80.74,100,33.617,30.581
20,36.7, 36s 434ms, 8452Kbps,1280,720,30,74.351,1.103,21.819,29.251,52.173,1.425085772,1.549,14.841,27.91,44.3,1.678352144,67.471,64.723,62.839,100,91.061,80.529,100,33.683,30.194
21,59.5, 59s 367ms, 8411Kbps,1280,720,30,128.419,1.692,41.235,47.738,90.665,1.416412066,1.823,27.84,41.394,71.057,1.807267405,68.087,65.385,63.104,100,90.118,81.035,100,33.185,30.109
22,117, 1mn 56s, 8384Kbps,1280,720,30,263.519,4.181,111.291,56.862,172.334,1.529117876,4.877,78.119,49.114,132.11,1.994693816,69.182,65.726,63.119,100,91.607,80.66,100,33.192,30.884
23,31.7, 31s 800ms, 8360Kbps,1280,720,30,81.921,1.483,30.184,28.633,60.3,1.358557214,1.824,17.141,25.851,44.816,1.827940914,69.155,64.746,63.95,100,90.803,80.112,100,33.916,30.294
24,46.8, 47s 0ms, 8351Kbps,1280,720,30,127.91,1.827,43.102,39.702,84.631,1.511384717,2.483,25.192,38.472,66.147,1.933723374,68.245,65.157,63.918,100,91.318,81.041,100,33.602,30.974
25,83.2, 1mn 23s, 8370Kbps,1280,720,30,264.815,8.344,73.554,89.722,171.62,1.543031115,8.671,30.042,74.445,113.158,2.340223404,67.917,64.564,63.02,100,91.37,80.122,100,32.187,30.959
26,144, 2mn 24s, 8396Kbps,1280,720,30,406.79,12.831,157.998,119.385,290.214,1.401689788,14.488,66.281,135.954,216.723,1.877004287,69.846,65.957,66.056,100,90.193,80.463,100,33.373,30.515
27,156, 2mn 36s, 8372Kbps,1280,720,30,480.347,16.225,126.359,156.736,299.32,1.6047942,17.404,61.96,134.377,213.741,2.247332051,66.007,61.992,62.06,100,91.142,80.03,100,32.542,30.173
28,61, 1mn 1s, 8363Kbps,1280,720,30,174.612,7.348,55.757,51.25,114.355,1.526929299,6.324,29.76,60.283,96.367,1.811948074,65.443,61.118,60.639,100,90.852,81.276,100,33.568,29.575
29,130, 2mn 10s, 8365Kbps,1280,720,30,414.515,14.207,110.487,132.493,257.187,1.611726098,17.224,55.336,125.87,198.43,2.088973442,67.715,63.899,63.649,100,90.003,81.39,100,33.285,30.02
30,32, 31s 934ms, 8400Kbps,1280,720,30,105.198,3.302,33.332,34.639,71.273,1.475986699,3.689,17.236,23.54,44.465,2.365860789,67.195,63.284,63.724,100,90.363,80.734,100,33.429,29.67
31,91.1, 1mn 31s, 8393Kbps,1280,720,30,299.124,10.484,95.169,98.729,204.382,1.463553542,11.559,39.27,85.71,136.539,2.190758684,67.426,62.941,61.652,100,90.697,80.916,100,33.496,29.821
32,93.4, 1mn 33s, 8367Kbps,1280,720,30,281.897,8.371,90.535,76.594,175.5,1.606250712,10.24,39.837,76.276,126.353,2.23102736,65.953,61.411,62.091,100,90.74,80.526,100,33.604,30.684
33,127, 2mn 7s, 8404Kbps,1280,720,30,430.363,14.381,101.738,135.857,251.976,1.707952345,16.842,59.595,119.078,195.515,2.20117638,66.413,61.997,60.6,100,90.305,80.322,100,33.763,29.89
34,45.3, 45s 0ms, 8451Kbps,1280,720,30,150.577,4.698,43.717,41.304,89.719,1.678317859,4.594,21.043,35.826,61.463,2.449880416,66.406,61.995,60.926,100,90.988,81.309,100,33.212,30.23
35,61.7, 1mn 1s, 8398Kbps,1280,720,30,195.597,7.608,55.309,50.105,113.022,1.73060997,7.734,22.479,50.851,81.064,2.412871312,69.844,66.943,65.464,100,90.418,80.504,100,33.369,30
36,31.4, 31s 434ms, 8375Kbps,1280,720,30,93.894,3.217,25.842,32.036,61.095,1.536852443,3.193,13.6,21.997,38.79,2.420572312,65.58,62.651,61.877,100,91.116,80.934,100,33.203,30.929
37,34, 34s 0ms, 8398Kbps,1280,720,30,114.626,3.086,34.287,30.338,67.711,1.692871173,4.353,12.031,33.731,50.115,2.287259304,65.848,62.006,60.184,100,90.028,80.757,100,32.102,29.882
38,31.4, 31s 267ms, 8425Kbps,1280,720,30,94.264,2.865,30.368,32.465,65.698,1.434807757,3.808,17.032,28.521,49.361,1.909685784,68.86,64.65,63.034,100,90.609,80.893,100,33.516,29.987
